,1st,2nd,3rd,4th,5th
Cluster0,"('Economics', 90)","('Classics', 85)","('Memoirs', 78)","('Historical Fiction', 77)","('Biography', 76)"
Cluster1,"('Reference', 17)","('Memoirs', 15)","('Adventure', 14)","('Economics', 14)","('Philosophy', 12)"
Cluster2,"('Historical Fiction', 51)","('Reference', 46)","('Adventure', 45)","('Biography', 43)","('Economics', 39)"
Cluster3,"('Classics', 52)","('Historical Fiction', 44)","('Biography', 42)","('Economics', 39)","('Romance', 39)"
Cluster4,"('Adventure', 12)","('Classics', 9)","('Romance', 8)","('Satire', 7)","('Economics', 6)"
Cluster5,"('Classics', 18)","('Biography', 16)","('Satire', 16)","('Memoirs', 14)","('Romance', 14)"
Cluster6,"('Memoirs', 97)","('Economics', 90)","('Historical Fiction', 88)","('Adventure', 86)","('Reference', 84)"
Cluster7,"('Historical Fiction', 17)","('Adventure', 13)","('Humor', 13)","('Memoirs', 13)","('Classics', 12)"
Cluster8,"('Biography', 22)","('Memoirs', 18)","('Reference', 17)","('Adventure', 14)","('Romance', 14)"
Cluster9,"('Adventure', 126)","('Classics', 125)","('Romance', 122)","('Reference', 118)","('Memoirs', 114)"
Cluster10,"('Adventure', 60)","('Classics', 55)","('Romance', 54)","('Economics', 49)","('Memoirs', 46)"
Cluster11,"('Economics', 101)","('Historical Fiction', 99)","('Classics', 95)","('Biography', 94)","('Adventure', 88)"
Cluster12,"('Historical Fiction', 12)","('Adventure', 11)","('Biography', 10)","('Classics', 10)","('Romance', 9)"
Cluster13,"('Classics', 21)","('Biography', 18)","('Historical Fiction', 14)","('Reference', 12)","('Satire', 12)"
Cluster14,"('Economics', 83)","('Reference', 62)","('Biography', 60)","('Satire', 60)","('Classics', 58)"
Cluster15,"('Biography', 93)","('Adventure', 92)","('Memoirs', 92)","('Romance', 91)","('Economics', 86)"
Cluster16,"('Adventure', 19)","('Biography', 17)","('Memoirs', 16)","('Classics', 15)","('Economics', 14)"
Cluster17,"('Philosophy', 11)","('Romance', 11)","('Adventure', 10)","('Biography', 10)","('Memoirs', 10)"
Cluster18,"('Memoirs', 141)","('Romance', 141)","('Reference', 136)","('Economics', 134)","('Adventure', 119)"
Cluster19,"('Adventure', 75)","('Romance', 67)","('Classics', 64)","('Economics', 64)","('Memoirs', 64)"
Cluster20,"('Memoirs', 66)","('Romance', 64)","('Adventure', 61)","('Classics', 60)","('Historical Fiction', 60)"
Cluster21,"('Historical Fiction', 12)","('Biography', 9)","('Adventure', 8)","('Fictional Diaries', 7)","('Reference', 7)"
Cluster22,"('Reference', 17)","('Romance', 16)","('Satire', 14)","('Classics', 13)","('Memoirs', 12)"
