,1st,2nd,3rd,4th,5th
Cluster0,"('Biography', 29)","('Economics', 26)","('Adventure', 25)","('Classics', 25)","('Historical Fiction', 22)"
Cluster1,"('Classics', 162)","('Reference', 159)","('Memoirs', 156)","('Adventure', 154)","('Economics', 147)"
Cluster2,"('Economics', 25)","('Memoirs', 25)","('Humor', 23)","('Reference', 23)","('Classics', 22)"
Cluster3,"('Reference', 71)","('Historical Fiction', 69)","('Classics', 67)","('Adventure', 66)","('Economics', 65)"
Cluster4,"('Romance', 39)","('Classics', 31)","('Memoirs', 30)","('Economics', 28)","('Adventure', 27)"
Cluster5,"('Reference', 184)","('Romance', 180)","('Biography', 178)","('Historical Fiction', 177)","('Classics', 169)"
Cluster6,"('Classics', 31)","('Economics', 26)","('Adventure', 23)","('Biography', 23)","('Historical Fiction', 20)"
Cluster7,"('Biography', 117)","('Satire', 117)","('Historical Fiction', 116)","('Reference', 114)","('Romance', 104)"
Cluster8,"('Adventure', 58)","('Memoirs', 56)","('Reference', 53)","('Romance', 52)","('Classics', 48)"
Cluster9,"('Classics', 45)","('Humor', 43)","('Memoirs', 43)","('Biography', 40)","('Historical Fiction', 38)"
Cluster10,"('Biography', 34)","('Memoirs', 29)","('Satire', 28)","('Reference', 27)","('Economics', 26)"
Cluster11,"('Economics', 219)","('Memoirs', 219)","('Biography', 216)","('Historical Fiction', 213)","('Adventure', 210)"
Cluster12,"('Romance', 11)","('Reference', 9)","('Biography', 8)","('Satire', 8)","('Analysis', 6)"
Cluster13,"('Classics', 107)","('Romance', 94)","('Biography', 91)","('Historical Fiction', 91)","('Adventure', 88)"
