,1st,2nd,3rd,4th,5th
Cluster0,"('Memoirs', 133)","('Reference', 126)","('Classics', 122)","('Economics', 121)","('Biography', 120)"
Cluster1,"('Adventure', 16)","('Economics', 16)","('Biography', 13)","('Classics', 13)","('Reference', 13)"
Cluster2,"('Classics', 45)","('Humor', 43)","('Memoirs', 43)","('Biography', 40)","('Historical Fiction', 38)"
Cluster3,"('Economics', 25)","('Memoirs', 24)","('Humor', 23)","('Reference', 23)","('Classics', 22)"
Cluster4,"('Reference', 152)","('Romance', 150)","('Biography', 141)","('Historical Fiction', 140)","('Adventure', 134)"
Cluster5,"('Biography', 23)","('Adventure', 14)","('Classics', 14)","('Economics', 13)","('Humor', 13)"
Cluster6,"('Reference', 71)","('Historical Fiction', 69)","('Classics', 67)","('Adventure', 66)","('Economics', 65)"
Cluster7,"('Biography', 34)","('Memoirs', 28)","('Reference', 27)","('Satire', 27)","('Economics', 26)"
Cluster8,"('Memoirs', 163)","('Economics', 161)","('Historical Fiction', 149)","('Biography', 141)","('Reference', 136)"
Cluster9,"('Classics', 107)","('Biography', 90)","('Romance', 90)","('Historical Fiction', 89)","('Adventure', 85)"
Cluster10,"('Romance', 11)","('Reference', 9)","('Biography', 8)","('Satire', 8)","('Analysis', 6)"
Cluster11,"('Adventure', 169)","('Historical Fiction', 145)","('Biography', 143)","('Romance', 141)","('Classics', 140)"
Cluster12,"('Adventure', 58)","('Memoirs', 56)","('Reference', 53)","('Romance', 52)","('Classics', 48)"
Cluster13,"('Romance', 39)","('Classics', 31)","('Memoirs', 30)","('Economics', 28)","('Adventure', 27)"
Cluster14,"('Classics', 18)","('Biography', 10)","('Economics', 10)","('Historical Fiction', 9)","('Adventure', 7)"
Cluster15,"('Satire', 114)","('Biography', 112)","('Reference', 110)","('Historical Fiction', 104)","('Romance', 104)"
Cluster16,"('Memoirs', 14)","('Economics', 13)","('Romance', 13)","('Adventure', 11)","('Classics', 11)"
