,1st,2nd,3rd,4th,5th
Cluster0,"('Biography', 153)","('Classics', 152)","('Satire', 142)","('Historical Fiction', 141)","('Romance', 139)"
Cluster1,"('Classics', 31)","('Economics', 26)","('Adventure', 23)","('Biography', 23)","('Historical Fiction', 20)"
Cluster2,"('Romance', 39)","('Classics', 31)","('Memoirs', 30)","('Economics', 28)","('Adventure', 27)"
Cluster3,"('Adventure', 239)","('Economics', 231)","('Historical Fiction', 231)","('Memoirs', 231)","('Biography', 229)"
Cluster4,"('Economics', 25)","('Memoirs', 25)","('Humor', 23)","('Reference', 23)","('Classics', 22)"
Cluster5,"('Adventure', 59)","('Memoirs', 57)","('Reference', 55)","('Romance', 53)","('Classics', 48)"
Cluster6,"('Biography', 29)","('Economics', 26)","('Adventure', 25)","('Classics', 25)","('Historical Fiction', 22)"
Cluster7,"('Historical Fiction', 90)","('Reference', 87)","('Classics', 86)","('Adventure', 76)","('Economics', 75)"
Cluster8,"('Reference', 180)","('Economics', 172)","('Biography', 171)","('Memoirs', 168)","('Classics', 164)"
Cluster9,"('Romance', 11)","('Reference', 9)","('Biography', 8)","('Satire', 8)","('Analysis', 6)"
Cluster10,"('Biography', 34)","('Memoirs', 29)","('Satire', 28)","('Reference', 27)","('Economics', 26)"
Cluster11,"('Classics', 45)","('Humor', 43)","('Memoirs', 43)","('Biography', 40)","('Historical Fiction', 38)"
Cluster12,"('Reference', 196)","('Historical Fiction', 189)","('Romance', 188)","('Biography', 187)","('Memoirs', 181)"
