,1st,2nd,3rd,4th,5th
Cluster0,"('Satire', 114)","('Biography', 112)","('Reference', 110)","('Historical Fiction', 104)","('Romance', 104)"
Cluster1,"('Classics', 18)","('Biography', 10)","('Economics', 10)","('Historical Fiction', 9)","('Adventure', 8)"
Cluster2,"('Adventure', 58)","('Memoirs', 56)","('Reference', 53)","('Romance', 52)","('Classics', 48)"
Cluster3,"('Memoirs', 163)","('Economics', 161)","('Historical Fiction', 148)","('Biography', 141)","('Reference', 136)"
Cluster4,"('Biography', 34)","('Memoirs', 29)","('Satire', 28)","('Reference', 27)","('Economics', 26)"
Cluster5,"('Economics', 25)","('Memoirs', 24)","('Humor', 23)","('Reference', 23)","('Classics', 22)"
Cluster6,"('Romance', 39)","('Classics', 31)","('Memoirs', 30)","('Economics', 28)","('Adventure', 27)"
Cluster7,"('Classics', 107)","('Biography', 90)","('Romance', 90)","('Historical Fiction', 89)","('Adventure', 85)"
Cluster8,"('Adventure', 169)","('Historical Fiction', 146)","('Biography', 143)","('Romance', 141)","('Classics', 140)"
Cluster9,"('Romance', 11)","('Reference', 9)","('Biography', 8)","('Satire', 8)","('Analysis', 6)"
Cluster10,"('Memoirs', 133)","('Reference', 126)","('Economics', 122)","('Classics', 121)","('Biography', 120)"
Cluster11,"('Biography', 29)","('Economics', 26)","('Classics', 25)","('Adventure', 24)","('Historical Fiction', 22)"
Cluster12,"('Reference', 71)","('Historical Fiction', 69)","('Classics', 67)","('Adventure', 66)","('Economics', 65)"
Cluster13,"('Classics', 45)","('Humor', 43)","('Memoirs', 43)","('Biography', 40)","('Historical Fiction', 38)"
Cluster14,"('Adventure', 16)","('Economics', 16)","('Biography', 13)","('Classics', 13)","('Reference', 13)"
Cluster15,"('Reference', 151)","('Romance', 150)","('Biography', 141)","('Historical Fiction', 140)","('Adventure', 134)"
