,1st,2nd,3rd,4th,5th
Cluster0,"('Adventure', 167)","('Historical Fiction', 146)","('Biography', 141)","('Romance', 138)","('Classics', 137)"
Cluster1,"('Biography', 23)","('Adventure', 14)","('Classics', 14)","('Economics', 13)","('Humor', 12)"
Cluster2,"('Adventure', 58)","('Memoirs', 56)","('Reference', 53)","('Romance', 52)","('Classics', 48)"
Cluster3,"('Economics', 25)","('Memoirs', 24)","('Humor', 23)","('Reference', 23)","('Classics', 22)"
Cluster4,"('Reference', 71)","('Classics', 67)","('Adventure', 66)","('Historical Fiction', 66)","('Economics', 63)"
Cluster5,"('Memoirs', 19)","('Biography', 18)","('Reference', 14)","('Romance', 14)","('Satire', 14)"
Cluster6,"('Adventure', 16)","('Economics', 16)","('Biography', 13)","('Classics', 13)","('Reference', 13)"
Cluster7,"('Memoirs', 159)","('Economics', 156)","('Historical Fiction', 142)","('Biography', 137)","('Reference', 136)"
Cluster8,"('Historical Fiction', 66)","('Classics', 61)","('Satire', 60)","('Biography', 58)","('Adventure', 56)"
Cluster9,"('Romance', 11)","('Reference', 9)","('Biography', 8)","('Satire', 8)","('Analysis', 6)"
Cluster10,"('Classics', 45)","('Humor', 43)","('Memoirs', 43)","('Biography', 40)","('Historical Fiction', 38)"
Cluster11,"('Reference', 151)","('Romance', 149)","('Biography', 141)","('Historical Fiction', 140)","('Adventure', 134)"
Cluster12,"('Romance', 74)","('Reference', 73)","('Biography', 72)","('Economics', 66)","('Satire', 65)"
Cluster13,"('Memoirs', 123)","('Classics', 121)","('Economics', 118)","('Reference', 118)","('Biography', 116)"
Cluster14,"('Romance', 39)","('Classics', 31)","('Economics', 28)","('Adventure', 27)","('Memoirs', 26)"
Cluster15,"('Biography', 17)","('Economics', 14)","('Memoirs', 14)","('Satire', 14)","('Adventure', 13)"
Cluster16,"('Classics', 98)","('Historical Fiction', 87)","('Romance', 86)","('Biography', 82)","('Adventure', 77)"
Cluster17,"('Memoirs', 14)","('Economics', 13)","('Romance', 13)","('Adventure', 11)","('Classics', 11)"
Cluster18,"('Classics', 18)","('Biography', 10)","('Economics', 10)","('Historical Fiction', 9)","('Adventure', 7)"
