,1st,2nd,3rd,4th,5th
Cluster0,"('Adventure', 60)","('Classics', 54)","('Romance', 54)","('Economics', 49)","('Memoirs', 46)"
Cluster1,"('Adventure', 126)","('Classics', 124)","('Romance', 121)","('Reference', 118)","('Memoirs', 114)"
Cluster2,"('Philosophy', 11)","('Romance', 11)","('Adventure', 10)","('Biography', 10)","('Memoirs', 10)"
Cluster3,"('Reference', 17)","('Romance', 17)","('Satire', 15)","('Memoirs', 14)","('Classics', 13)"
Cluster4,"('Memoirs', 66)","('Romance', 64)","('Adventure', 61)","('Classics', 60)","('Historical Fiction', 60)"
Cluster5,"('Adventure', 12)","('Classics', 9)","('Romance', 9)","('Satire', 7)","('Economics', 6)"
Cluster6,"('Historical Fiction', 28)","('Adventure', 21)","('Biography', 19)","('Humor', 19)","('Memoirs', 19)"
Cluster7,"('Biography', 38)","('Adventure', 33)","('Memoirs', 32)","('Romance', 27)","('Classics', 25)"
Cluster8,"('Adventure', 75)","('Romance', 67)","('Classics', 64)","('Economics', 64)","('Memoirs', 64)"
Cluster9,"('Historical Fiction', 12)","('Adventure', 11)","('Biography', 10)","('Classics', 10)","('Romance', 9)"
Cluster10,"('Adventure', 93)","('Biography', 93)","('Memoirs', 93)","('Romance', 92)","('Economics', 86)"
Cluster11,"('Historical Fiction', 51)","('Reference', 46)","('Adventure', 45)","('Biography', 44)","('Economics', 39)"
Cluster12,"('Economics', 83)","('Reference', 62)","('Biography', 60)","('Satire', 60)","('Classics', 59)"
Cluster13,"('Reference', 17)","('Memoirs', 15)","('Adventure', 14)","('Economics', 14)","('Philosophy', 12)"
Cluster14,"('Memoirs', 141)","('Romance', 141)","('Reference', 136)","('Economics', 134)","('Adventure', 119)"
Cluster15,"('Classics', 22)","('Biography', 17)","('Reference', 15)","('Historical Fiction', 14)","('Crime & Mystery', 11)"
Cluster16,"('Economics', 90)","('Classics', 85)","('Memoirs', 78)","('Historical Fiction', 77)","('Biography', 76)"
Cluster17,"('Economics', 101)","('Historical Fiction', 99)","('Classics', 95)","('Biography', 94)","('Adventure', 89)"
Cluster18,"('Classics', 18)","('Biography', 16)","('Satire', 16)","('Memoirs', 14)","('Romance', 14)"
Cluster19,"('Classics', 52)","('Historical Fiction', 44)","('Biography', 42)","('Economics', 39)","('Romance', 39)"
Cluster20,"('Memoirs', 96)","('Economics', 91)","('Historical Fiction', 89)","('Adventure', 85)","('Reference', 83)"
