,1st,2nd,3rd,4th,5th
Cluster0,"('Economics', 113)","('Memoirs', 110)","('Classics', 109)","('Adventure', 107)","('Romance', 105)"
Cluster1,"('Philosophy', 11)","('Romance', 11)","('Adventure', 10)","('Biography', 10)","('Memoirs', 10)"
Cluster2,"('Biography', 38)","('Adventure', 31)","('Memoirs', 29)","('Reference', 26)","('Romance', 25)"
Cluster3,"('Economics', 52)","('Biography', 40)","('Classics', 40)","('Romance', 37)","('Historical Fiction', 35)"
Cluster4,"('Memoirs', 94)","('Economics', 89)","('Historical Fiction', 88)","('Adventure', 85)","('Reference', 83)"
Cluster5,"('Historical Fiction', 12)","('Biography', 9)","('Adventure', 8)","('Fictional Diaries', 7)","('Reference', 7)"
Cluster6,"('Classics', 18)","('Biography', 16)","('Satire', 16)","('Memoirs', 14)","('Romance', 14)"
Cluster7,"('Historical Fiction', 66)","('Economics', 63)","('Satire', 52)","('Memoirs', 51)","('Romance', 50)"
Cluster8,"('Classics', 22)","('Biography', 17)","('Historical Fiction', 14)","('Reference', 13)","('Crime & Mystery', 11)"
Cluster9,"('Adventure', 26)","('Classics', 21)","('Historical Fiction', 18)","('Economics', 17)","('Romance', 17)"
Cluster10,"('Adventure', 12)","('Classics', 9)","('Romance', 8)","('Satire', 7)","('Economics', 6)"
Cluster11,"('Adventure', 54)","('Classics', 53)","('Romance', 53)","('Memoirs', 46)","('Economics', 45)"
Cluster12,"('Historical Fiction', 17)","('Adventure', 13)","('Humor', 13)","('Memoirs', 13)","('Classics', 12)"
Cluster13,"('Memoirs', 73)","('Economics', 71)","('Adventure', 69)","('Biography', 69)","('Classics', 68)"
Cluster14,"('Classics', 87)","('Historical Fiction', 80)","('Reference', 80)","('Romance', 80)","('Memoirs', 77)"
Cluster15,"('Adventure', 92)","('Biography', 92)","('Memoirs', 92)","('Romance', 90)","('Economics', 86)"
Cluster16,"('Historical Fiction', 12)","('Adventure', 11)","('Biography', 10)","('Classics', 10)","('Romance', 9)"
Cluster17,"('Classics', 123)","('Adventure', 120)","('Romance', 118)","('Memoirs', 112)","('Reference', 112)"
Cluster18,"('Reference', 17)","('Memoirs', 15)","('Adventure', 14)","('Economics', 14)","('Philosophy', 12)"
Cluster19,"('Classics', 75)","('Biography', 74)","('Adventure', 69)","('Economics', 66)","('Romance', 65)"
Cluster20,"('Economics', 46)","('Reference', 42)","('Biography', 37)","('Satire', 37)","('Romance', 34)"
Cluster21,"('Historical Fiction', 38)","('Reference', 38)","('Biography', 30)","('Economics', 27)","('Adventure', 24)"
Cluster22,"('Reference', 17)","('Romance', 17)","('Satire', 15)","('Memoirs', 14)","('Classics', 13)"
Cluster23,"('Romance', 104)","('Reference', 103)","('Memoirs', 96)","('Economics', 88)","('Historical Fiction', 78)"
