,1st,2nd,3rd,4th,5th
Cluster0,"('Reference', 150)","('Romance', 149)","('Economics', 147)","('Memoirs', 146)","('Adventure', 127)"
Cluster1,"('Historical Fiction', 17)","('Adventure', 13)","('Humor', 13)","('Memoirs', 13)","('Classics', 12)"
Cluster2,"('Biography', 38)","('Adventure', 33)","('Memoirs', 32)","('Romance', 27)","('Reference', 26)"
Cluster3,"('Economics', 91)","('Biography', 70)","('Classics', 68)","('Reference', 67)","('Satire', 65)"
Cluster4,"('Adventure', 94)","('Romance', 94)","('Biography', 93)","('Memoirs', 93)","('Economics', 87)"
Cluster5,"('Historical Fiction', 12)","('Adventure', 11)","('Biography', 10)","('Classics', 10)","('Romance', 9)"
Cluster6,"('Economics', 112)","('Historical Fiction', 111)","('Classics', 110)","('Biography', 106)","('Satire', 104)"
Cluster7,"('Adventure', 60)","('Classics', 55)","('Romance', 54)","('Economics', 49)","('Memoirs', 46)"
Cluster8,"('Reference', 17)","('Romance', 17)","('Satire', 15)","('Memoirs', 14)","('Classics', 13)"
Cluster9,"('Philosophy', 11)","('Romance', 11)","('Adventure', 10)","('Biography', 10)","('Memoirs', 10)"
Cluster10,"('Classics', 18)","('Biography', 16)","('Satire', 16)","('Memoirs', 14)","('Romance', 14)"
Cluster11,"('Adventure', 12)","('Classics', 9)","('Romance', 8)","('Satire', 7)","('Economics', 6)"
Cluster12,"('Historical Fiction', 51)","('Reference', 46)","('Adventure', 45)","('Biography', 44)","('Economics', 39)"
Cluster13,"('Reference', 17)","('Memoirs', 15)","('Adventure', 14)","('Economics', 14)","('Philosophy', 12)"
Cluster14,"('Memoirs', 96)","('Economics', 90)","('Historical Fiction', 89)","('Adventure', 86)","('Reference', 84)"
Cluster15,"('Classics', 96)","('Historical Fiction', 92)","('Romance', 91)","('Memoirs', 90)","('Adventure', 87)"
Cluster16,"('Economics', 133)","('Memoirs', 127)","('Adventure', 124)","('Classics', 124)","('Romance', 121)"
Cluster17,"('Historical Fiction', 12)","('Biography', 9)","('Adventure', 8)","('Fictional Diaries', 7)","('Reference', 7)"
Cluster18,"('Adventure', 128)","('Classics', 123)","('Romance', 122)","('Memoirs', 118)","('Reference', 117)"
Cluster19,"('Classics', 22)","('Biography', 17)","('Historical Fiction', 14)","('Reference', 14)","('Crime & Mystery', 11)"
