,1st,2nd,3rd,4th,5th
Cluster0,"('Satire', 114)","('Biography', 112)","('Reference', 110)","('Romance', 104)","('Historical Fiction', 103)"
Cluster1,"('Memoirs', 14)","('Economics', 13)","('Romance', 13)","('Adventure', 11)","('Classics', 11)"
Cluster2,"('Romance', 11)","('Reference', 9)","('Biography', 8)","('Satire', 8)","('Analysis', 6)"
Cluster3,"('Classics', 45)","('Humor', 43)","('Memoirs', 43)","('Biography', 40)","('Historical Fiction', 38)"
Cluster4,"('Romance', 103)","('Reference', 93)","('Biography', 89)","('Memoirs', 86)","('Adventure', 85)"
Cluster5,"('Economics', 25)","('Memoirs', 24)","('Humor', 23)","('Reference', 23)","('Classics', 22)"
Cluster6,"('Biography', 23)","('Adventure', 14)","('Classics', 14)","('Economics', 13)","('Humor', 13)"
Cluster7,"('Reference', 71)","('Historical Fiction', 69)","('Classics', 67)","('Adventure', 66)","('Economics', 65)"
Cluster8,"('Adventure', 163)","('Romance', 139)","('Historical Fiction', 136)","('Biography', 135)","('Reference', 135)"
Cluster9,"('Adventure', 16)","('Economics', 16)","('Biography', 13)","('Classics', 13)","('Reference', 13)"
Cluster10,"('Classics', 107)","('Biography', 90)","('Romance', 90)","('Historical Fiction', 89)","('Adventure', 85)"
Cluster11,"('Romance', 39)","('Classics', 31)","('Memoirs', 30)","('Economics', 28)","('Adventure', 27)"
Cluster12,"('Adventure', 58)","('Memoirs', 56)","('Reference', 53)","('Romance', 52)","('Classics', 48)"
Cluster13,"('Economics', 138)","('Historical Fiction', 126)","('Memoirs', 123)","('Biography', 112)","('Reference', 109)"
Cluster14,"('Biography', 34)","('Memoirs', 28)","('Reference', 27)","('Satire', 27)","('Economics', 26)"
Cluster15,"('Historical Fiction', 90)","('Reference', 90)","('Biography', 89)","('Classics', 88)","('Economics', 84)"
Cluster16,"('Classics', 18)","('Biography', 10)","('Economics', 10)","('Historical Fiction', 9)","('Adventure', 7)"
Cluster17,"('Memoirs', 131)","('Reference', 123)","('Classics', 121)","('Biography', 120)","('Adventure', 119)"
